Date,5 YR,7 YR,10 YR,20 YR,30 YR
9/19/2019,0.25,0.21,0.18,0.38,0.57
9/18/2019,0.28,0.23,0.21,0.41,0.59
9/17/2019,0.2,0.17,0.15,0.36,0.56
9/16/2019,0.21,0.19,0.17,0.39,0.59
9/13/2019,0.29,0.25,0.23,0.45,0.65
9/12/2019,0.22,0.19,0.16,0.38,0.58
9/11/2019,0.2,0.17,0.15,0.36,0.56
9/10/2019,0.18,0.14,0.12,0.34,0.54
9/9/2019,0.11,0.08,0.06,0.27,0.47
9/6/2019,0.07,0.03,0.01,0.21,0.41
9/5/2019,0.08,0.04,0.01,0.23,0.43
9/4/2019,0.01,-0.02,-0.04,0.18,0.39
9/3/2019,0.06,0.01,-0.03,0.14,0.37
8/30/2019,0.04,-0.01,-0.05,0.16,0.35
8/29/2019,0.01,-0.04,-0.09,0.07,0.31
8/28/2019,0.01,-0.04,-0.08,0.08,0.32
8/27/2019,0.04,-0.01,-0.06,0.11,0.36
8/26/2019,0.09,0.05,0,0.2,0.44
8/23/2019,0.05,0.02,-0.02,0.19,0.42
8/22/2019,0.15,0.11,0.07,0.29,0.51
8/21/2019,0.13,0.09,0.05,0.28,0.5
8/20/2019,0.08,0.05,0.02,0.22,0.48
8/19/2019,0.11,0.07,0.04,0.27,0.49
8/16/2019,0.08,0.05,0.01,0.2,0.44
8/15/2019,0.08,0.03,-0.02,0.17,0.41
8/14/2019,0.15,0.09,0.02,0.23,0.44
8/13/2019,0.13,0.09,0.05,0.27,0.49
8/12/2019,0.1,0.07,0.04,0.26,0.47
8/9/2019,0.13,0.1,0.08,0.3,0.55
8/8/2019,0.11,0.09,0.07,0.3,0.54
8/7/2019,0.14,0.11,0.09,0.32,0.56
8/6/2019,0.13,0.12,0.11,0.34,0.6
8/5/2019,0.16,0.16,0.15,0.38,0.65
8/2/2019,0.21,0.2,0.2,0.43,0.69
8/1/2019,0.21,0.2,0.2,0.44,0.71
7/31/2019,0.28,0.27,0.26,0.47,0.72
7/30/2019,0.26,0.27,0.28,0.51,0.77
7/29/2019,0.27,0.28,0.29,0.53,0.78
7/26/2019,0.28,0.29,0.3,0.53,0.78
7/25/2019,0.25,0.26,0.28,0.51,0.76
7/24/2019,0.23,0.24,0.26,0.5,0.75
7/23/2019,0.22,0.24,0.27,0.51,0.76
7/22/2019,0.21,0.23,0.26,0.5,0.75
7/19/2019,0.2,0.22,0.25,0.5,0.75
7/18/2019,0.18,0.2,0.25,0.5,0.74
