,date,name,y_pred,y_true
0,20061215,The Chinese Economy: Progress and Challenges,0.0,0.0
1,20061201,Monetary Policy and Uncertainty,0.0,0.0
2,20061201,Welcoming remarks,0.0,0.0
3,20061130,A U.S. Perspective on Basel II Implementation,0.0,0.0
4,20061128,The Economic Outlook,0.0,-1.0
5,20061121,Financial Markets and the Federal Reserve,0.0,0.0
6,20061116,The Conquest of Worldwide Inflation: Currency Competition and Its Implications for Interest Rates and the Yield Curve,0.0,0.0
7,20061110,Monetary Aggregates and Monetary Policy at the Federal Reserve: A Historical Perspective,0.0,0.0
8,20061103,The Evolving Role of the Federal Reserve Banks,0.0,-1.0
9,20061102,The Economic Outlook,0.0,0.0
10,20061101,Community Development Financial Institutions: Promoting Economic Growth and Opportunity,0.0,0.0
11,20061017,A Supervisory Perspective on Enterprise Risk Management,0.0,0.0
12,20061016,Bank Regulation and Supervision: Balancing Benefits and Costs,0.0,0.0
13,20061012,Globalization: A Force for Good?,0.0,0.0
14,20061011,A U.S. Supervisor's Perspective on Current Banking Issues,0.0,0.0
15,20061004,Economic Outlook,0.0,1.0
16,20061004,The Coming Demographic Transition: Will We Treat Future Generations Fairly?,0.0,1.0
17,20060927,What Drives Productivity Growth?  Implications for the Economy and Prospects for the Future,0.0,0.0
18,20060911,Evolution of Retail Payments and the Role of the Federal Reserve,0.0,0.0
19,20060901,Remarks,0.0,1.0
20,20060831,Productivity,0.0,0.0
21,20060825,Global Economic Integration: What's New and What's Not?,0.0,0.0
22,20060718,Corporate Cash Balances and Economic Activity,0.0,0.0
23,20060706,Reflections on Globalization and Policies,0.0,0.0
24,20060704,Addressing Challenges Raised by Basel II Implementation,0.0,0.0
25,20060616,Why Are Yield Curves So Flat and Long Rates So Low Globally?,0.0,0.0
26,20060616,The Effects of Globalization on Inflation and Their Implications for Monetary Policy,0.0,0.0
27,20060615,Energy and the Economy,0.0,0.0
28,20060615,Why Are Yield Curves So Flat and Long Rates So Low Globally?,0.0,0.0
29,20060614,A Supervisor's Perspective on Mortgage Markets and Mortgage Lending Practices,0.0,0.0
30,20060613, Increasing Economic Opportunity: Challenges and Strategies,0.0,1.0
31,20060612,Modern Risk Management and Banking Supervision,0.0,0.0
32,20060612,A Supervisorâs Perspective on Enterprise Risk Management,0.0,0.0
33,20060612,What Are Examiners Looking for When They Examine Banks for Compliance?,0.0,0.0
34,20060609,Commencement address,0.0,0.0
35,20060606,Challenges of Conducting Effective Risk Management in Community Banks,0.0,0.0
36,20060605,Panel Discussion: Comments on the Outlook for the U.S. Economy and Monetary Policy,0.0,0.0
37,20060525,Community Development and the Bigger Picture,0.0,0.0
38,20060524,Innovative Statistics for a Dynamic Economy,0.0,0.0
39,20060518,The Evolving Nature of the Financial System: Financial Crises and the Role of the Central Bank,0.0,0.0
40,20060518,Basel II: Its Promise and Its Challenges,0.0,0.0
41,20060516,Hedge Funds and Systemic Risk,0.0,0.0
42,20060516,Compliance Risk Management in a Diversified Environment,0.0,0.0
43,20060516,Implementing Basel II: Choices and Challenges,0.0,0.0
44,20060511,Investing in Payment Innovations:  A Federal Reserve Perspective,0.0,0.0
45,20060504,"Supervisory Perspective on Current Bank Capital, Market Risk, and Loan Product Issues",0.0,0.0
46,20060503,Community Revitalization: Lessons from Anacostia,0.0,0.0
47,20060428,A Bank Supervisor's Perspective on Enterprise Risk Management,0.0,0.0
48,20060427,Business Capital Spending,0.0,0.0
49,20060420,By the Numbers: Data and Measurement in Community Economic Development,0.0,0.0
50,20060417,Thoughts on Financial Stability and Central Banking,0.0,0.0
51,20060413,Update on the U.S. economy,0.0,-1.0
52,20060413,Economic outlook,0.0,-1.0
53,20060410,A Risk-Management Perspective on Recent Regulatory Proposals,0.0,0.0
54,20060410,Enterprise-Wide Compliance-Risk Management,0.0,0.0
55,20060406,The Effect of Removing Geographic Restrictions on Banking in the United States: Lessons for Europe,0.0,0.0
56,20060405,Financial Education and the National Jump$tart Coalition Survey,0.0,0.0
57,20060403,"Central Counterparty Clearing: History, Innovation, and Regulation",0.0,0.0
58,20060331,An Update on Regulatory Issues,0.0,0.0
59,20060331,Financial Regulation: Seeking the Middle Way,0.0,0.0
60,20060329,Sound Capital and Risk Management,0.0,0.0
61,20060320,Reflections on the Yield Curve and Monetary Policy,0.0,1.0
62,20060316,Monetary policy and asset prices,0.0,1.0
63,20060313,Are Banks Still Special?,0.0,-1.0
64,20060310,Remarks,0.0,0.0
65,20060308,Community Banking and Community Bank Supervision ,0.0,0.0
66,20060303,Economic Outlook for the United States,0.0,1.0
67,20060224,The Benefits of Price Stability,0.0,0.0
68,20060224,The Importance of Education,0.0,0.0
69,20060223,"Globalization, Insurers, and Regulators: Shared Challenges Call for Collaborative Solutions",0.0,0.0
70,20060206,Remarks at ceremonial swearing-in by President Bush,0.0,0.0
71,20060202,The Continuous Challenges of Risk Management,0.0,0.0
72,20060118,Productivity and Economic Outlook,0.0,0.0
73,20071130,"Innovation, Information, and Regulation in Financial Markets ",0.0,0.0
74,20071129,National and regional economic overview,0.0,0.0
75,20071129,The Federal Reserveâs Enhanced Communication Strategy and the Science of Monetary Policy ,0.0,0.0
76,20071128,Financial Markets and Central Banking,0.0,-1.0
77,20071114,Federal Reserve Communications,0.0,-1.0
78,20071113,Implementing Basel II in the United States,0.0,0.0
79,20071107,The End of History?,0.0,0.0
80,20071106,Microfinance in the United States,0.0,-1.0
81,20071105,The Challenges Facing Subprime Mortgage Borrowers,0.0,0.0
82,20071105,Financial Instability and Monetary Policy,0.0,0.0
83,20071026,Financial Instability and the Federal Reserve as a Liquidity Provider,0.0,1.0
84,20071022,Recent Events in Financial Markets,0.0,0.0
85,20071020,Headline versus Core Inflation in the Conduct of Monetary Policy,0.0,0.0
86,20071019,Monetary Policy under Uncertainty,0.0,0.0
87,20071015,The Recent Financial Turmoil and its Economic and Policy Consequences,0.0,-1.0
88,20071012,John Taylor Rules,0.0,-1.0
89,20071012,Opening remarks,0.0,-1.0
